"Name","Extension","SizeMB","Category","FullName","LastWriteTime"
"Семира, В.Веташ . - Астрология имени, цвета и звука.(Мир идей Зодиака). - 2005.pdf",".pdf","28,36","12-applied-esoteric-talismans-calendar","G:\Codex Goroskop\sources\books\library\12-applied-esoteric-talismans-calendar\Семира, В.Веташ . - Астрология имени, цвета и звука.(Мир идей Зодиака). - 2005.pdf","09.01.2025 18:40:52"
"Семира, В.Веташ . – Пути Зодиака или эволюция характера – 1993.pdf",".pdf","6,8","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Семира, В.Веташ . – Пути Зодиака или эволюция характера – 1993.pdf","09.01.2025 18:40:49"
"Семира, В.Веташ. -  Иcкусство астрологии. Часть I — 1993г.pdf",".pdf","24,93","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Семира, В.Веташ. -  Иcкусство астрологии. Часть I — 1993г.pdf","09.01.2025 18:40:52"
"Семира, В.Веташ. - Астрология и мифология — 1998.pdf",".pdf","4,24","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Семира, В.Веташ. - Астрология и мифология — 1998.pdf","09.01.2025 18:40:52"
"Семира, В.Веташ. – Иcкусство астрологии. Часть II — 1993.pdf",".pdf","24,22","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Семира, В.Веташ. – Иcкусство астрологии. Часть II — 1993.pdf","09.01.2025 18:40:51"
"Сущииская Е. -  Ретроградные планеты. Взгляд в прошлое.  – 2008.pdf",".pdf","37,37","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Сущииская Е. -  Ретроградные планеты. Взгляд в прошлое.  – 2008.pdf","09.01.2025 18:28:22"
"Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 1. Астрология Лунных Узлов. — 2008 .pdf",".pdf","28,98","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 1. Астрология Лунных Узлов. — 2008 .pdf","09.01.2025 18:28:18"
"Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 2. Введение в кармический план. —  2009.pdf",".pdf","25,5","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 2. Введение в кармический план. —  2009.pdf","09.01.2025 18:25:45"
"Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 3. Матрица -1. —  2010.pdf",".pdf","15,8","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 3. Матрица -1. —  2010.pdf","09.01.2025 18:28:25"
"Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 4. Матрица II. —  2011.pdf",".pdf","10,41","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. - Бег во времени. Краткий курс кармической астрологии. Методическое пособие. Книга 4. Матрица II. —  2011.pdf","09.01.2025 18:28:25"
"Сущинская Е. – Высшие планеты. Размышления о пространстве и времени, а также о высших ретроградных планетах. – 2006 .pdf",".pdf","40,16","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Сущинская Е. – Высшие планеты. Размышления о пространстве и времени, а также о высших ретроградных планетах. – 2006 .pdf","09.01.2025 18:28:23"
"Сущинская Е. - Затмения. Третье тысячелетие —  2007.pdf",".pdf","14,29","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Сущинская Е. - Затмения. Третье тысячелетие —  2007.pdf","09.01.2025 18:28:25"
"Сущинская Е. – Лилит раскрывает свои тайны. Возвращение Черной Луны. Независимое расследование. - 2005.pdf",".pdf","24,72","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. – Лилит раскрывает свои тайны. Возвращение Черной Луны. Независимое расследование. - 2005.pdf","09.01.2025 18:28:25"
"Сущинская Е. – Лилит раскрывает свои тайны. Пути, которые мы выбираем. – 2007.pdf",".pdf","26,12","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. – Лилит раскрывает свои тайны. Пути, которые мы выбираем. – 2007.pdf","09.01.2025 18:28:24"
"Сущинская Е. - Лунные узлы, или игры со временем. (Кармическая астрология). - 2010.pdf",".pdf","20,99","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Сущинская Е. - Лунные узлы, или игры со временем. (Кармическая астрология). - 2010.pdf","09.01.2025 18:28:19"
"Сущинская Е. – Ретроградные планеты. Взгляд в прошлое. – 2001.pdf",".pdf","9,23","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Сущинская Е. – Ретроградные планеты. Взгляд в прошлое. – 2001.pdf","09.01.2025 18:25:46"
"Ушкова Е. М., Захарова С. В. - Дома гороскопа. Жизненный путь - 2023.pdf",".pdf","64,19","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Ушкова Е. М., Захарова С. В. - Дома гороскопа. Жизненный путь - 2023.pdf","04.06.2026 7:23:36"
