"Name","Extension","SizeMB","Category","FullName","LastWriteTime"
"Давыдов М. -  Восточный Зодиак - 2011.pdf",".pdf","28,01","09-chinese-eastern-astrology","G:\Codex Goroskop\sources\books\library\09-chinese-eastern-astrology\Давыдов М. -  Восточный Зодиак - 2011.pdf","09.01.2025 18:18:57"
"Давыдов М. - Дао лунного календаря. – 2008.pdf",".pdf","21,99","09-chinese-eastern-astrology","G:\Codex Goroskop\sources\books\library\09-chinese-eastern-astrology\Давыдов М. - Дао лунного календаря. – 2008.pdf","09.01.2025 18:19:06"
"Давыдов М. – Древнекитайская Астрология Эпохи Хань. - 2010.pdf",".pdf","26,92","09-chinese-eastern-astrology","G:\Codex Goroskop\sources\books\library\09-chinese-eastern-astrology\Давыдов М. – Древнекитайская Астрология Эпохи Хань. - 2010.pdf","09.01.2025 18:18:58"
"Давыдов М. – Китайский  Гороскоп -  2011.pdf",".pdf","27,21","09-chinese-eastern-astrology","G:\Codex Goroskop\sources\books\library\09-chinese-eastern-astrology\Давыдов М. – Китайский  Гороскоп -  2011.pdf","09.01.2025 18:18:58"
"Дишеполо Чиро - Основы медицинской астрологии - 2013.pdf",".pdf","14,82","06-medical-special-topics","G:\Codex Goroskop\sources\books\library\06-medical-special-topics\Дишеполо Чиро - Основы медицинской астрологии - 2013.pdf","04.06.2026 7:31:11"
"Журавская Анжелика - Астрологическая ДНК (Астрология от А до Я) - 2023.pdf",".pdf","3,58","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Журавская Анжелика - Астрологическая ДНК (Астрология от А до Я) - 2023.pdf","04.06.2026 7:34:48"
"Колесников A. - Астрология. Самоучитель - 2018.pdf",".pdf","4,22","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Колесников A. - Астрология. Самоучитель - 2018.pdf","04.06.2026 7:32:37"
"Левин M., Митяева Т. - Планеты и профессии. Дома и характер деятельности. – 2003.pdf",".pdf","7,09","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин M., Митяева Т. - Планеты и профессии. Дома и характер деятельности. – 2003.pdf","09.01.2025 18:30:22"
"Левин М.  – Лекции по астрологии. Начальный курс. Часть 1.(Продолжение ) – 1993.pdf",".pdf","5,91","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин М.  – Лекции по астрологии. Начальный курс. Часть 1.(Продолжение ) – 1993.pdf","09.01.2025 18:30:16"
"Левин М. – Лекции по астрологии. Начальный курс. Часть 1. – 1993.pdf",".pdf","5,63","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин М. – Лекции по астрологии. Начальный курс. Часть 1. – 1993.pdf","09.01.2025 18:29:09"
"Левин М. – Лекции по астрологии. Начальный курс. Часть II. – 1992.pdf",".pdf","8,82","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Левин М. – Лекции по астрологии. Начальный курс. Часть II. – 1992.pdf","09.01.2025 18:30:22"
